id,scrape_time,clean_time,status
20130101195728,16.59165334701538,0.0572428703308105,yes
20130103040136,16.635658979415894,0.0160980224609375,yes
20130103234336,5.398645877838135,0.0319960117340087,yes
20130105014032,6.2734010219573975,0.0127151012420654,yes
20130106000648,16.545357704162598,0.0173242092132568,yes
20130106213527,8.276030778884888,0.0154230594635009,yes
20130108011456,7.605478048324585,0.0155661106109619,yes
20130109000300,6.525068759918213,0.0163362026214599,yes
20130109050826,6.91695499420166,0.0177869796752929,yes
20130111081219,4.137900114059448,0.0168068408966064,yes
20130111213553,6.336399078369141,0.0084359645843505,yes
20130112202834,3.9367172718048096,0.0340816974639892,yes
20130113224151,4.706428050994873,0.0157380104064941,yes
20130115045048,6.824254989624023,0.0168869495391845,yes
20130116044006,5.567119121551514,0.0173907279968261,yes
20130116212106,6.291946172714233,0.014393091201782227,yes
