URL,label
https://www.foxnews.com/us/girl-dies-self-inflicted-gunshot-wound-grabbing-la-county-deputys-weapon,article
https://www.foxnews.com/world/iraqi-cop-sentenced-death-killing-security-analyst-acquitted,article
https://www.foxnews.com/us/illinois-board-resigns-parolee-kills-boy-injured-pregnant-ex-girlfriend-attack-governor-says,article
https://www.foxnews.com/us/alex-murdaugh-court-clerk-becky-hill-resigns-after-allegations-jury-tampering,article
https://www.foxnews.com/us/suspect-critical-milwaukee-officers-return-gunfire-foot-pursuit,article
https://www.foxnews.com/world/france-kicks-drug-raids-arrests-european-elections-approach,article
https://www.foxnews.com/us/amish-country-murder-red-jeep-nike-sneakers-led-cops-pregnant-moms-suspected-killer,article
https://www.foxnews.com/us/michigan-judge-slams-mass-murderer-who-claims-wrongful-conviction-drowning-four-children-report,article
https://www.foxnews.com/us/murdered-washington-teens-both-16-found-along-highway-connected-killings-report,article
https://www.foxnews.com/us/1-person-killed-5-wounded-indiana-bar-shooting-police-say,article
https://www.foxnews.com/us/former-va-republican-lawmaker-arrested-again-felony-firearm-drug-charges,article
https://www.foxnews.com/us/south-carolina-man-found-dead-after-allegedly-killing-estranged-wife-her-friend,article
https://www.foxnews.com/health/daily-weed-smokers-higher-risk-heart-attack-stroke-american-heart-association-study,article
https://www.foxnews.com/politics/deadline-trump-post-454-million-bond-new-york-ag-letitia-james-case,article
https://www.foxnews.com/us/brutally-violent-mexican-cartel-draining-americans-life-savings-complex-scam,article
https://www.foxnews.com/us/missing-vermont-teen-brianna-maitland-father-suspects-some-kind-struggle-vanished,article
https://www.foxnews.com/us/canadian-charged-after-faking-school-shooting-threat-hostage-situation-florida-swatting-calls,article
https://www.foxnews.com/us/texas-boy-12-charged-stabbing-that-left-woman-critical-condition,article
https://www.foxnews.com/world/ecuadors-youngest-mayor-communications-director-discovered-fatally-shot,article
https://www.foxnews.com/us/chileans-arrested-california-suburb-days-lapd-forms-task-force-counter-transnational-crime-ring,article
https://www.foxnews.com/us/pennsylvania-inmate-escaped-prison-nearly-4-months-ago-captured-leaving-philadelphia-planet-fitness,article
https://www.foxnews.com/media/ultimate-evil-ultimate-innocence-mind-idaho-murder-suspect-bryan-kohberger,article
https://www.foxnews.com/us/two-texas-boys-ages-7-12-taken-custody-connection-woman-stabbed-sheriff,article
https://www.foxnews.com/us/florida-woman-arrested-allegedly-kidnapping-neighbors-2-year-old-refusing-return-child-parent,article
https://www.foxnews.com/us/virginia-mother-killed-body-found-trash-truck-police,article
https://www.foxnews.com/us/la-county-sheriffs-departments-organized-retail-theft-crime-task-force-conducts-major-fencing-bust,article
https://www.foxnews.com/us/mugshots-week-march-17-23-2024,article
https://www.foxnews.com/us/transgender-teen-admits-killing-12-year-old-girl-showing-body-instagram,article
https://www.foxnews.com/us/st-louis-teen-brutally-beaten-viral-attack-breathing-own-stable-condition-reports,article
https://www.foxnews.com/politics/meet-former-dem-congressman-facing-federal-charges-george-santos,article
https://www.foxnews.com/us/new-york-pet-alligator-seized-state-like-they-were-raiding-terrorists-home-owner-says,article
https://www.foxnews.com/media/american-values-small-town-marshal-details-cops-learn-old-school-policing,article
https://www.foxnews.com/us/michigan-school-shooters-dad-james-crumbley-accused-threatening-prosecutor-jail-calls,article
https://www.foxnews.com/us/body-70-year-old-woman-found-inside-trash-bag-new-york-one-person-charged-concealment-corpse,article
https://www.foxnews.com/us/inmate-breaks-out-hawaii-jail-becomes-victim-hit-run-just-moments-later,article
https://www.foxnews.com/us/florida-man-calls-american-airlines-passengers-blue-eyed-white-devils-threatens-take-plane-down,article
https://www.foxnews.com/us/las-vegas-mother-explains-why-forgave-sons-killer-heard-voice-god,article
https://www.foxnews.com/us/nxivm-sex-cult-survivor-shares-what-made-her-susceptible-brainwashing-trafficking,article
https://www.foxnews.com/us/body-missing-experienced-california-hiker-found-base-waterfall-days-search-police,article
https://www.foxnews.com/us/watch-florida-deputy-saves-k9-unit-falling-over-bridge-most-likely-to-his-death-sheriff-says,article
https://www.foxnews.com/us/florida-couples-political-debate-violent-republican-attacks-democratic-fiance-authorities,article
https://www.foxnews.com/us/memphis-police-searching-suspect-walmart-shooting,article
https://www.foxnews.com/politics/wisconsin-counties-decline-prosecute-campaign-finance-case-trump-committee,article
https://www.foxnews.com/us/2-black-officers-sue-louisville-pd-discrimination,article
https://www.foxnews.com/us/michigan-man-pleads-guilty-kidnapping-killing-2-year-old,article
https://www.foxnews.com/politics/former-georgia-gop-governor-candidate-pleads-guilty-fraud-case,article
https://www.foxnews.com/entertainment/romanian-court-denies-andrew-tates-request-seized-cars-luxury-items-returned,article
https://www.foxnews.com/us/details-emerge-clinton-airport-executives-death-arkansas,article
https://www.foxnews.com/world/suspects-arrested-2022-ireland-gas-station-explosion-killed-10,article
https://www.foxnews.com/us/georgia-teens-grab-gun-knock-out-deputy-escape-custody-before-being-recaptured-by-police,article
https://www.foxnews.com/sports/lions-release-cameron-sutton-police-continue-search-cornerback-amid-battery-allegations,article
https://www.foxnews.com/us/man-pleads-guilty-smuggling-migrants-california-through-sewer-pipes,article
https://www.foxnews.com/us/two-arrested-pennsylvania-new-york-squatters-allegedly-killed-stuffed-woman-duffel-bag,article
https://www.foxnews.com/world/british-man-used-fentanyl-poison-couple-gaining-trust-monitored-deaths-via-app,article
https://www.foxnews.com/us/missing-womans-mom-begs-biden-help-caribbean-paradise-murders-gone-unsolved,article
https://www.foxnews.com/us/california-teachers-sexting-turned-yearslong-sexual-abuse-student-police,article
https://www.foxnews.com/us/former-mississippi-officers-10-40-years-prison-torture-2-black-men,article
https://www.foxnews.com/us/iowa-woman-tells-police-shes-witch-after-trying-light-porch-fire-report,article
https://www.foxnews.com/us/chicago-police-officer-wounded-traffic-stop-shooting,article
https://www.foxnews.com/us/77-year-old-philadelphia-man-released-after-serving-decades-prison-murder-commit,article
https://www.foxnews.com/us/riley-strain-found-nashville-police-locate-body-college-student-who-went-missing-night-out,article
https://www.foxnews.com/us/indiana-manhunt-intensifies-suspect-deadly-walmart-shooting,article
https://www.foxnews.com/us/ohio-dad-could-still-face-death-penalty-massacre-3-sons-judge-tosses-confession,article
https://www.foxnews.com/world/german-government-decriminalize-limited-amounts-marijuana,article
https://www.foxnews.com/world/uk-police-investigate-allegedly-racist-remarks-top-conservative-party-donor,article
